Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
28-03-2024,28-03-2024,VAT on Charges Amount,5452803241736923,0.75,0.00,"50,984.25"
28-03-2024,28-03-2024,IB-DFT-5452803241736923 Ref-OWN AC TRF PINNACLE HOLDING LLC FZ - Charges,5452803241736923,15.00,0.00,"50,985.00"
28-03-2024,28-03-2024,IB-DFT-5452803241736923 Ref-OWN AC TRF PINNACLE HOLDING LLC FZ,5452803241736923,"108,000.00",0.00,"51,000.00"
28-03-2024,28-03-2024,Monthly ChargesElite - Mar 2024,FE240328000534828746,52.50,0.00,"159,000.00"
27-03-2024,27-03-2024,VAT on Charges Amount,5452703241541686,0.75,0.00,"159,052.50"
27-03-2024,27-03-2024,IB-DFT-5452703241541686 Ref-pmnt agnst inv PINNACLE HOLDING LLC FZ - Charges,5452703241541686,15.00,0.00,"159,053.25"
27-03-2024,27-03-2024,IB-DFT-5452703241541686 Ref-pmnt agnst inv PINNACLE HOLDING LLC FZ,5452703241541686,"100,815.00",0.00,"159,068.25"
27-03-2024,27-03-2024,IB-INTT-5452703241540131 Ref-pmnt agnst inv Transfer within bank 19193337,5452703241540131,"125,255.00",0.00,"259,883.25"
26-03-2024,26-03-2024,VAT on Charges Amount,5452603241336843,0.75,0.00,"385,138.25"
26-03-2024,26-03-2024,IB-DFT-5452603241336843 Ref-pmnt agnast inv M J S STAR GENERAL TRADING - Charges,5452603241336843,15.00,0.00,"385,139.00"
26-03-2024,26-03-2024,IB-DFT-5452603241336843 Ref-pmnt agnast inv M J S STAR GENERAL TRADING LLC,5452603241336843,"164,150.00",0.00,"385,154.00"
25-03-2024,25-03-2024,FT24085DB254:-NBAD GDI ALHAMBRA TRADING FZCO REFPAYMENT FOR INVOICE,404G240325EB9A36,0.00,"497,655.75","549,304.00"
22-03-2024,22-03-2024,VAT on Charges Amount,5452203249793355,0.75,0.00,"51,648.25"
22-03-2024,22-03-2024,IB-DFT-5452203249793355 Ref-REF132 M J S STAR GENERAL TRADING LLC - Charges,5452203249793355,15.00,0.00,"51,649.00"
22-03-2024,22-03-2024,IB-DFT-5452203249793355 Ref-REF132 M J S STAR GENERAL TRADING LLC,5452203249793355,"332,548.00",0.00,"51,664.00"
22-03-2024,22-03-2024,VAT on Charges Amount,5452203249792394,0.75,0.00,"384,212.00"
22-03-2024,22-03-2024,IB-DFT-5452203249792394 Ref-REF088 PINNACLE HOLDING LLC FZ - Charges,5452203249792394,15.00,0.00,"384,212.75"
22-03-2024,22-03-2024,IB-DFT-5452203249792394 Ref-REF088 PINNACLE HOLDING LLC FZ,5452203249792394,"230,544.00",0.00,"384,227.75"
22-03-2024,22-03-2024,033DBLC240820831:-BOML GDI VERVESTEN FZCO REF,404G240322E64343,0.00,"494,682.00","614,771.75"
21-03-2024,21-03-2024,LN15929157075006:-WIOB CIN Aditya Trivedi Anil Trivedi REFEquity,404C240321E479AF,0.00,"69,000.00","120,089.75"
20-03-2024,20-03-2024,VAT on Charges Amount,5452003249428693,0.75,0.00,"51,089.75"
20-03-2024,20-03-2024,IB-DFT-5452003249428693 Ref-REF 103 PINNACLE HOLDING LLC FZ - Charges,5452003249428693,15.00,0.00,"51,090.50"
20-03-2024,20-03-2024,IB-DFT-5452003249428693 Ref-REF 103 PINNACLE HOLDING LLC FZ,5452003249428693,"501,233.00",0.00,"51,105.50"
20-03-2024,20-03-2024,LN15009766373961:-WIOB CIN Aditya Trivedi Anil Trivedi REFEquity,404C240320E25537,0.00,"100,000.00","552,338.50"
20-03-2024,20-03-2024,LN14629463984668:-WIOB CIN Aditya Trivedi Anil Trivedi REFEquity,404G240320E1C9E3,0.00,"400,000.00","452,338.50"
19-03-2024,19-03-2024,VAT on Charges Amount,5451903249326692,0.75,0.00,"52,338.50"
19-03-2024,19-03-2024,IB-DFT-5451903249326692 Ref-pmnt agnst inv M J S STAR GENERAL TRADING  - Charges,5451903249326692,15.00,0.00,"52,339.25"
19-03-2024,19-03-2024,IB-DFT-5451903249326692 Ref-pmnt agnst inv M J S STAR GENERAL TRADING LLC,5451903249326692,"298,112.00",0.00,"52,354.25"
19-03-2024,19-03-2024,VAT on Charges Amount,5451903249325584,0.75,0.00,"350,466.25"
19-03-2024,19-03-2024,IB-DFT-5451903249325584 Ref-pmnt agnst inv PINNACLE HOLDING LLC FZ - Charges,5451903249325584,15.00,0.00,"350,467.00"
