Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
28-06-2024,28-06-2024,IB-INTT-5452806247116514 Ref-pmnt agnst inv    Transfer within bank 192473334477,5452806247116514,0.00,"2,154.00","2,185.95"
28-06-2024,28-06-2024,VAT on Charges Amount,5452806247013921,1.98,0.00,31.95
28-06-2024,28-06-2024,IB-IFT-5452806247013921 Ref-526145 SANDEEP KEDIA - Charges,5452806247013921,39.67,0.00,33.93
28-06-2024,28-06-2024,IB-IFT-5452806247013921 Ref-526145 SANDEEP KEDIA,5452806247013921,"6,010.00",0.00,73.60
28-06-2024,28-06-2024,Monthly ChargesElite - Jun 2024,FE240628000536513497,52.50,0.00,"6,083.60"
27-06-2024,27-06-2024,IB-INTT-5452706246925668 Ref-4455    Transfer within bank 19247333pmnt agnst inv,5452706246925668,0.00,"6,122.00","6,136.10"
28-05-2024,28-05-2024,Monthly ChargesElite - May 2024,FE240528000535943838,52.50,0.00,14.10
14-05-2024,14-05-2024,IB-IFT-5451405247916913 Ref-re 3421 CENTURY EXPORTS LIMITED,5451405247916913,"166,900.00",0.00,66.60
14-05-2024,14-05-2024,IB-INTT-5451405247913927 Ref-PMNT AGNST INV    Transfer within bank 191593425692,5451405247913927,0.00,"76,294.00","166,966.60"
14-05-2024,14-05-2024,IB-INTT-5451405247913221 Ref-PAYMENT FOR INVOICE    Transfer within bank 1915934,5451405247913221,0.00,"90,558.00","90,672.60"
10-05-2024,10-05-2024,IB-IFT-5451005247441160 Ref-Ref 1014 CENTURY EXPORTS LIMITED,5451005247441160,"164,800.00",0.00,114.60
10-05-2024,10-05-2024,IB-INTT-5451005247403414 Ref-Payment Against Invoice    Transfer within bank 191,5451005247403414,0.00,"79,033.00","164,914.60"
10-05-2024,10-05-2024,IB-INTT-5451005247402569 Ref-Payment against invoice    Transfer within bank 191,5451005247402569,0.00,"85,840.00","85,881.60"
07-05-2024,07-05-2024,IB-IFT-5450705246924621 Ref-pmnt agnst inv REGENCI DMCC,5450705246924621,"146,750.00",0.00,41.60
07-05-2024,07-05-2024,IB-INTT-5450705246920521 Ref-inter group trf    Transfer within bank 19160586int,5450705246920521,0.00,"144,850.00","146,791.60"
27-04-2024,27-04-2024,Monthly ChargesElite - Apr 2024,FE240427000535383781,52.50,0.00,"1,941.60"

